trending_date,category_name,views,avg_likes,num_trending_videos
2017-12-17,Education,3728393,18175.8,5
2017-12-17,Entertainment,50024844,35623.62962962963,54
2017-12-17,Film & Animation,10923178,20981.9,10
2017-12-17,Gaming,251900,8340.5,2
2017-12-17,Howto & Style,8084908,26808.736842105263,19
2017-12-17,Music,63302677,68634.77142857143,35
2017-12-17,News & Politics,6581639,3609.235294117647,17
2017-12-17,Nonprofits & Activism,11579,986.0,1
2017-12-17,People & Blogs,15944764,66497.07142857143,14
2017-12-17,Pets & Animals,2749121,17168.0,5
2017-12-17,Science & Technology,6878363,24797.0,11
2017-12-17,Sports,1085104,1464.0,7
2017-12-17,Travel & Events,61840,850.0,1
2017-12-18,Autos & Vehicles,701821,21102.0,1
2017-12-18,Comedy,24122352,66556.72222222222,18
2017-12-18,Education,3494568,16318.75,4
2017-12-18,Entertainment,64723883,52335.542372881355,59
2017-12-18,Film & Animation,12007753,18629.583333333332,12
2017-12-18,Gaming,216434,14762.0,1
2017-12-18,Howto & Style,14039158,30975.15,20
2017-12-18,Music,70472354,81804.80645161291,31
2017-12-18,News & Politics,6796744,4384.466666666666,15
2017-12-18,Nonprofits & Activism,13964,1131.0,1
2017-12-18,People & Blogs,12489036,41978.333333333336,15
2017-12-18,Pets & Animals,1680116,14257.25,4
2017-12-18,Science & Technology,8023200,28553.2,10
2017-12-18,Sports,2142908,2728.222222222222,9
2017-12-19,Autos & Vehicles,1538797,19720.0,2
2017-12-19,Comedy,25734958,69063.52631578948,19
2017-12-19,Education,4801863,33204.5,6
2017-12-19,Entertainment,52993833,40362.982142857145,56
2017-12-19,Film & Animation,14947491,18363.846153846152,13
2017-12-19,Gaming,232286,15327.0,1
2017-12-19,Howto & Style,17997207,36855.333333333336,21
2017-12-19,Music,34669504,55144.1935483871,31
2017-12-19,News & Politics,5869575,4901.4,15
2017-12-19,Nonprofits & Activism,15525,1203.0,1
2017-12-19,People & Blogs,16532309,46596.38888888889,18
2017-12-19,Pets & Animals,666994,14322.5,2
2017-12-19,Science & Technology,6122184,24278.428571428572,7
2017-12-19,Sports,3387098,5819.666666666667,6
2017-12-19,Travel & Events,268413,2684.0,2
2017-12-20,Autos & Vehicles,2324101,34727.5,2
2017-12-20,Comedy,27060521,71500.83333333333,18
2017-12-20,Education,4945883,28510.85714285714,7
2017-12-20,Entertainment,55007401,41502.75,56
2017-12-20,Film & Animation,10674841,8765.642857142857,14
2017-12-20,Gaming,251145,16025.0,1
2017-12-20,Howto & Style,13146631,25668.809523809523,21
2017-12-20,Music,38007244,64099.40740740741,27
2017-12-20,News & Politics,4090453,2560.133333333333,15
2017-12-20,Nonprofits & Activism,16948,1248.0,1
2017-12-20,People & Blogs,10222912,30473.5,16
2017-12-20,Pets & Animals,162508,5013.0,1
2017-12-20,Science & Technology,7666147,23941.6,10
2017-12-20,Sports,5510539,8440.375,8
2017-12-20,Travel & Events,1168792,6281.0,3
2017-12-21,Autos & Vehicles,2687177,41953.5,2
2017-12-21,Comedy,27798555,80060.27777777778,18
2017-12-21,Education,3333470,29205.625,8
2017-12-21,Entertainment,55757955,43717.21568627451,51
2017-12-21,Film & Animation,9490694,12252.375,16
2017-12-21,Gaming,277921,16878.0,1
2017-12-21,Howto & Style,13429109,30145.166666666668,18
2017-12-21,Music,50086479,86362.37931034483,29
2017-12-21,News & Politics,5063202,2901.0,18
2017-12-21,Nonprofits & Activism,33685,1450.0,1
2017-12-21,People & Blogs,10016345,34547.46666666667,15
2017-12-21,Pets & Animals,2641466,47379.666666666664,3
2017-12-21,Science & Technology,5070372,21630.875,8
2017-12-21,Sports,3222148,5447.777777777777,9
2017-12-21,Travel & Events,1554648,8835.333333333334,3
2017-12-22,Autos & Vehicles,2931722,45981.5,2
2017-12-22,Comedy,16219382,53177.57894736842,19
2017-12-22,Education,4552405,35578.77777777778,9
2017-12-22,Entertainment,57331007,43290.35849056604,53
2017-12-22,Film & Animation,9508992,17071.76923076923,13
2017-12-22,Howto & Style,13175808,32318.3125,16
2017-12-22,Music,56555553,92967.92592592593,27
2017-12-22,News & Politics,4254761,2605.6,20
